employee_id,name,department,job_level,hire_date,salary
1102, johnson ,HR,Analyst,2020/07/01,56592.0
1435, miller ,Finance,Manager,invalid_date,67907.0
1348, williams ,IT,Manager,2021-01-10,94151.0
1270, johnson ,Finance,,2021-01-10,45313.0
1106, johnson ,Finance,,2020/07/01,97175.0
1071, johnson ,Finance,Senior Analyst,2020/07/01,83271.0
1188, smith ,,Manager,03/15/2022,74023.0
1020, smith ,,Analyst,invalid_date,59296.0
1102, smith ,Operations,,invalid_date,56891.0
1121, williams ,Operations,Analyst,2020/07/01,45607.0
1466, garcia ,Finance,Analyst,03/15/2022,95751.0
1214, miller ,IT,Manager,invalid_date,93064.0
1330, jones ,HR,Manager,2020/07/01,48906.0
1458, johnson ,,,2021-01-10,61711.0
1087, miller ,IT,Manager,invalid_date,76497.0
1372, johnson ,Sales,Manager,03/15/2022,65507.0
1099, williams ,,Manager,03/15/2022,41220.0
1359, johnson ,,Analyst,03/15/2022,60133.0
1151, smith ,Operations,,2021-01-10,99266.0
1130, jones ,HR,Senior Analyst,invalid_date,61150.0
1149, brown ,HR,Analyst,invalid_date,67548.0
1308, johnson ,Sales,Manager,2021-01-10,52822.0
1257, miller ,Sales,Analyst,invalid_date,78816.0
1343, smith ,,Manager,2021-01-10,71727.0
1491, brown ,Finance,Manager,2021-01-10,58870.0
1413, jones ,Operations,Analyst,2021-01-10,50430.0
1293, brown ,Operations,,03/15/2022,91068.0
1385, smith ,,Manager,invalid_date,45917.0
1191, garcia ,IT,,2021-01-10,77557.0
1443, garcia ,Finance,Senior Analyst,invalid_date,37692.0
1276, brown ,,Manager,03/15/2022,80608.0
1160, williams ,Finance,,2021-01-10,84554.0
1459, miller ,Finance,,2020/07/01,86422.0
1313, miller ,Finance,Senior Analyst,03/15/2022,67582.0
1021, brown ,,,2020/07/01,93760.0
1252, johnson ,Operations,,invalid_date,104617.0
1235, johnson ,Operations,Senior Analyst,invalid_date,65176.0
1344, miller ,Finance,Manager,03/15/2022,63235.0
1048, miller ,IT,,invalid_date,72238.0
1474, garcia ,HR,,2020/07/01,62835.0
1058, williams ,,,2021-01-10,60642.0
1169, smith ,HR,Analyst,2021-01-10,61949.0
1475, johnson ,IT,Senior Analyst,2021-01-10,95736.0
1187, miller ,,Analyst,03/15/2022,81578.0
1463, garcia ,Finance,Senior Analyst,invalid_date,62786.0
1270, jones ,Operations,Manager,2020/07/01,33173.0
1189, garcia ,HR,Manager,invalid_date,46833.0
1445, johnson ,Sales,,invalid_date,77551.0
1174, johnson ,Sales,Senior Analyst,invalid_date,38177.0
1445, garcia ,IT,Manager,2021-01-10,74395.0
1050, smith ,Finance,Senior Analyst,2020/07/01,54017.0
1363, brown ,HR,Manager,2020/07/01,71377.0
1054, johnson ,Finance,Analyst,invalid_date,70958.0
1243, garcia ,HR,Manager,2021-01-10,71809.0
1319, miller ,IT,Analyst,2021-01-10,64084.0
1130, garcia ,IT,Manager,2020/07/01,63591.0
1484, williams ,Sales,,2021-01-10,59188.0
1306, brown ,Finance,Analyst,2021-01-10,77258.0
1134, jones ,,Manager,2021-01-10,82078.0
1020, smith ,Sales,,03/15/2022,51715.0
1328, jones ,Finance,Analyst,invalid_date,69226.0
1166, brown ,Sales,,2020/07/01,72949.0
1273, brown ,,Senior Analyst,2020/07/01,72757.0
1387, brown ,Operations,Senior Analyst,03/15/2022,72502.0
1088, jones ,Operations,Analyst,invalid_date,63969.0
1315, miller ,Operations,Manager,2020/07/01,74185.0
1013, brown ,Operations,Analyst,2021-01-10,79270.0
1241, garcia ,HR,,2020/07/01,72116.0
1264, jones ,Operations,Manager,2021-01-10,77589.0
1345, brown ,,Senior Analyst,03/15/2022,84855.0
1052, garcia ,IT,Manager,2021-01-10,42236.0
1385, miller ,IT,Senior Analyst,2020/07/01,84152.0
1339, williams ,HR,Manager,2020/07/01,75136.0
1091, miller ,Operations,Manager,2020/07/01,53326.0
1366, brown ,Operations,Manager,03/15/2022,82037.0
1443, jones ,Operations,,03/15/2022,64025.0
1454, johnson ,Sales,,invalid_date,66071.0
1427, brown ,Finance,Analyst,2020/07/01,62385.0
1263, johnson ,Sales,Analyst,2021-01-10,74536.0
1430, garcia ,Finance,Senior Analyst,03/15/2022,58220.0
1034, williams ,Operations,,2020/07/01,83522.0
1205, smith ,Operations,Senior Analyst,2020/07/01,67917.0
1080, miller ,Sales,Analyst,03/15/2022,64537.0
1419, williams ,Sales,Senior Analyst,invalid_date,81293.0
1049, brown ,Finance,Analyst,03/15/2022,65207.0
1359, johnson ,IT,,03/15/2022,84223.0
1387, miller ,Finance,Manager,2021-01-10,84694.0
1001, johnson ,Sales,,2021-01-10,49978.0
1389, jones ,,Senior Analyst,invalid_date,86639.0
1053, johnson ,Sales,Senior Analyst,2020/07/01,48069.0
1105, jones ,,,03/15/2022,87574.0
1259, garcia ,HR,,invalid_date,100425.0
1309, miller ,Sales,Analyst,2021-01-10,83123.0
1476, miller ,HR,Senior Analyst,03/15/2022,37645.0
1190, smith ,IT,Senior Analyst,2020/07/01,85953.0
1401, brown ,Finance,,2021-01-10,103692.0
1217, jones ,,Manager,2021-01-10,65455.0
1043, smith ,Finance,Senior Analyst,2021-01-10,69479.0
1161, johnson ,HR,Manager,invalid_date,52173.0
1201, johnson ,,,2020/07/01,74681.0
1445, smith ,Finance,,03/15/2022,89038.0
1483, miller ,Sales,Analyst,invalid_date,80466.0
1269, johnson ,Operations,Senior Analyst,invalid_date,117130.0
1350, garcia ,HR,Manager,invalid_date,70495.0
1303, garcia ,Finance,Analyst,2021-01-10,45540.0
1270, smith ,HR,Senior Analyst,2020/07/01,72565.0
1455, jones ,HR,Analyst,invalid_date,33753.0
1461, jones ,,,03/15/2022,62003.0
1214, smith ,,Senior Analyst,2020/07/01,94366.0
1251, jones ,Operations,Analyst,03/15/2022,74877.0
1189, miller ,Sales,Analyst,2020/07/01,72691.0
1295, miller ,HR,Manager,03/15/2022,97312.0
1212, jones ,Finance,Analyst,2021-01-10,65941.0
1207, garcia ,IT,Senior Analyst,invalid_date,88927.0
1236, jones ,HR,Senior Analyst,03/15/2022,71940.0
1337, miller ,HR,Manager,2020/07/01,75701.0
1366, williams ,Operations,Senior Analyst,invalid_date,51740.0
